Category,Name,Brand,Price,Key_Features
Computing,"Dual Monitor Stand â€“ 3 Shelf Computer Monitor Riser, Wood Desktop Stand with Adjustable Length and Angle, Desk Accessories, Office Supplies Medium Black,DT108001WB",Dual,450,Not Available
Computing,"SHEIN Women's Vintage Clutch Purse,Fashionable Solid Color Rivet Clutch",SHEIN,549,Material: Polyurethane (PU) | Composition: 100% Polyurethane | Details: Rivet | Occasion: Shopping | Style: Fashionable | Color: Black | Closure Type: Zipper | Type: Square Bag | Strap Type: Top Handle | Bag Size: Medium | Coating: 100% Polyurethane
Computing,"Lenovo 14e Chromebook 81MH000BUS 14"" Chromebook - 1920 x 1080 - AMD A-Series A4-9120 Dual-core (2 Core) 1.60 GHz - 4 GB RAM - 32 GB flash memory",Lenovo,12777,Processor Model: a4-9120 | Processor Speed: 1. 60 GHz | Processor Core: dual-core (2 cores)
Computing,"Asus Chromebook C523, 15.6-inch FHD NanoEdge display with 180-degree hinge, Intel Celeron N3350 processor, 4 GB LPDDR4-RAM, 64 GB storage, Chrome OS, Silver,",Asus,14440,Not Available
Computing,300Mbps Wireless WiFi Range Extender – WiFi Repeater with LAN Port – White,Wireless,575,Not Available
Computing,15.6 Inch Waterproof Laptop Sleeve - VOYA Protective Case -Black,Inch,225,"Fits laptops up to 15.6 inches | Water-resistant outer surface for protection against light rain and spills | Soft, padded interior that prevents scratches and absorbs minor shocks | Slim, lightweight design for easy portability | 2 Durable zipper closure for secure and smooth use | Minimalist, modern look suitable for school, work, or travel | Ideal for daily protection inside backpacks, suitcases, or briefcases"
Computing,"DELL Pre-owned Latitude 3400 – Like New – Intel Core i5-8265U, 8GB DDR4 RAM, 256GB SSD, Intel UHD Graphics 620- 14 Full HD Display - Grade A.",DELL,8888,"attery health: 91% and above | Hard drive health: 85% and above | Warranty: 6 Month | Grade A Delivery within Cairo and Giza only. The warranty does not cover misuse or exposure to liquids. The laptop case and all accessories must be repaired within the warranty year. There may be some scratches on the exterior of the product. Brand : DELL Series : DELL Latitude Model : DELL Latitude 7320 CPU : Intel Core i5-8265U (4C/8T, up to 3.9 GHz) GPU : Intel graphic card Total RAM : 8 GB Total Storage : SSD 256 GB Storage Config : SSD 256 GB Screen size : 14 inches FHD Refresh Rate : 60Hz Screen Resolution : 1920X1080 Intel iris-R-EX up to 4GB Keyboard : EN (Backlit) Screen Panel : IPS Touchscreen : No"
Computing,"MSI Crosshair 16 HX AI D2XWFKG (NVIDIA® GeForce RTX™ 5060 Laptop GPU, GDDR7 8GB)",MSI,83199,Not Available
Computing,"DELL laptop Vostro 15 3530 , Intel Core i5-1334U Processor, 15.6 Inch FHD Display, 512 GB SSD, 8 GB RAM DDR4, Intel UHD Graphics, Ubuntu - Carbon Black",DELL,27777,Brand: Dell | Processor Type: Intel Core i5-1334U | Gen: 13th | Processor Core: Deca Core | Screen Size: 15.6 Inch | Resolution Type: FHD | Hard Disk Capacity: 512 GB SSD | RAM Capacity: 8 GB DDR4 | Graphics Card Brand: Intel | Graphics Card: Intel UHD | Graphics Card Capacity: Built-In Graphics Card | Operating System: Ubuntu | Model Name: Vostro 15 3530 | Color: Carbon Black
Computing,EAGEAT 10 Speed Adjustable Laptop Stand+phone Stand,EAGEAT,230.88,"Product name: multi-file adjustable notebook stand | Adjustable Height: about 80-195mm height | ADJUSTABLE GEARS: TenMaterial: Abc silican material | Static load bearing capacity: About 50 Jin | USE PRODUCTS: notebook, tablet, book,phone"
